target;distractor;id;id_dis;source_target;target_sent;source_dis;distractor_sent
046.wav;dis_073.wav;46;dis_073;corpus;Messer und Gabel liegen neben dem Teller.;GPT-low;In der Zwielichtzone verschwimmen die Grenzen der Realität.
230.wav;dis_286.wav;230;dis_286;GPT-humans;Die Familie genießt gemeinsames Abendessen.;GPT-nonfiction;Die Geschichte des Mittelalters wurde oft durch Schlachten geprägt.
239.wav;dis_040.wav;239;dis_040;GPT-humans;Ein älteres Ehepaar tanzt auf der Hochzeitsfeier.;GPT-unprompted;Der aromatische Duft von exotischen Gewürzen durchzieht die Küche.
235.wav;dis_041.wav;235;dis_041;GPT-humans;Die Hochzeit versammelt Familie und Freunde.;GPT-unprompted;Auf dem Jahrmarkt sorgen bunte Fahrgeschäfte für Aufregung.
219.wav;dis_263.wav;219;dis_263;GPT-normal;Ein ruhiger Bach plätschert durch den Wald.;GPT-news;Neue Daten zeigen steigende Arbeitslosenzahlen im Land.
096.wav;dis_204.wav;96;dis_204;corpus;Jeden Freitag gibt's frischen Fisch.;GPT-normal;Die Straßenlaterne flackerte in der verlassenen Gasse.
100.wav;dis_029.wav;100;dis_029;corpus;Diese Mannschaft schoss gleich drei Tore.;GPT-unprompted;Auf dem Markt kaufen wir frisches Gemüse und Obst.
091.wav;dis_162.wav;91;dis_162;corpus;Schnupfen stört uns natürlich sehr.;GPT-normal;Beim Bäcker gibt es köstliche Brötchen zum Frühstück.
109.wav;dis_097.wav;109;dis_097;corpus;Nicht jeder verträgt kaltes Bier.;GPT-high;Das schmelzende Eis tropft auf den Bürgersteig.
034.wav;dis_217.wav;34;dis_217;GPT-high;Der Hund bellt vor dem Haus.;GPT-normal;Ein Schatten bewegt sich leise im Treppenhaus.
058.wav;dis_109.wav;58;dis_109;corpus;Der gelbe Küchenofen sorgt für Wärme;GPT-high;Die Pinguine halten eine Modenschau in der Antarktis.
076.wav;dis_052.wav;76;dis_052;corpus;Das war jetzt aber ein schöner Tag.;GPT-unprompted;Der herzliche Gruß schafft eine angenehme Atmosphäre.
011.wav;dis_169.wav;11;dis_169;GPT-low;Das Licht tanzte über dem Fluss.;GPT-news;Die Inflation erreicht den höchsten Stand seit Jahren.
229.wav;dis_056.wav;229;dis_056;GPT-humans;Studenten treffen sich in der Bibliothek.;GPT-unprompted;Die traditionelle Musik verbreitet gute Laune im Raum.
097.wav;dis_214.wav;97;dis_214;corpus;Mein Arzt empfahl dringend Bäder.;GPT-normal;Meine Katze schläft liebend gern auf dem Sofa.
016.wav;dis_208.wav;16;dis_208;GPT-daily;Die Kaffeetasse klirrt beim Frühstück.;GPT-normal;Der Künstler pinselte leidenschaftlich Farben auf die Leinwand.
102.wav;dis_098.wav;102;dis_098;corpus;Diese Gegend nennt man Sandwüste.;GPT-high;Die quirligen Enten schwimmen im ruhigen Teich.
168.wav;dis_274.wav;168;dis_274;GPT-low;Vor dem Schloss wartet eine einsame Gestalt.;GPT-nonfiction;Das Weltall birgt zahlreiche unentdeckte Phänomene und Geheimnisse.
031.wav;dis_133.wav;31;dis_133;GPT-high;Die Vögel zwitschern am Morgen.;GPT-high;Mit dem Wecker begann ein neuer Tag in der Routine.
166.wav;dis_187.wav;166;dis_187;GPT-low;Der Kühlschrank summt seltsame Melodien.;GPT-literature;Die Uhr im Turm schlug Mitternacht als alles verstummte.
204.wav;dis_210.wav;204;dis_210;GPT-unprompted;Ein Lächeln erhellt das Gesicht.;GPT-normal;Ich habe gestern einen interessanten Film gesehen.
211.wav;dis_175.wav;211;dis_175;GPT-low;Der Hund las heimlich die Zeitung.;GPT-literature;Seine Worte waren wie Musik in der stürmischen Nacht.
226.wav;dis_244.wav;226;dis_244;GPT-humans;Sportliche Jugendliche treffen sich am Fluss.;GPT-creative;Im Café vermischen sich Gespräche zu einem lebendigen Gemälde.
192.wav;dis_011.wav;192;dis_011;GPT-middle;Zwei Mannschaften kämpfen um den Sieg.;corpus;Ich will keine Zeit durch weitere nutzlose Bemühungen vergeuden.
028.wav;dis_146.wav;28;dis_146;GPT-high;Der Kaffee duftet sehr verlockend.;GPT-low;Das Gemälde an der Wand zeigte bewegte Landschaften.
083.wav;dis_209.wav;83;dis_209;corpus;Manche Menschen vertragen keine Erdbeeren.;GPT-normal;Ich trinke gerne einen Kaffee am Morgen und lese Zeitung.
041.wav;dis_137.wav;41;dis_137;GPT-low;Sein Blick fiel auf den Boden.;GPT-high;Der Wanderer genoss die Aussicht vom Berggipfel.
099.wav;dis_167.wav;99;dis_167;corpus;Unsere Söhne lieben flotte Tänze.;GPT-low;Das Klappern der Tastatur hallt durch den Park.
021.wav;dis_269.wav;21;dis_269;GPT-daily;Der Wecker klingelt zur gewohnten Zeit.;GPT-nonfiction;Die Evolution formte die Vielfalt des Tierreichs entscheidend.
106.wav;dis_017.wav;106;dis_017;corpus;Danach kannst Du Dich wirklich richten.;corpus;Der Karlspreis ist die Sternstunde eines Films.
181.wav;dis_245.wav;181;dis_245;GPT-middle;Die Katze schnurrt zufrieden auf dem Sofa.;GPT-creative;Der Spiegel reflektiert Träume, die noch nicht geträumt wurden.
087.wav;dis_224.wav;87;dis_224;corpus;Schlaf vor Mitternacht ist gesund.;GPT-low;Beim Kochen improvisiere ich gerne mit Gewürzen.
205.wav;dis_145.wav;205;dis_145;GPT-unprompted;Die Sterne funkeln am Nachthimmel.;GPT-low;Beim Kochen fiel mir ein Gedicht über Kartoffeln ein.
190.wav;dis_182.wav;190;dis_182;GPT-middle;Der Apfelbaum trägt viele reife Äpfel.;GPT-literature;Die Wüste erstreckte sich endlos bis zum Horizont.
248.wav;dis_243.wav;248;dis_243;GPT-humans;In der Wüste flirrt die Hitze.;GPT-creative;Ein geheimnisvolles Tagebuch liegt offen im verstaubten Bücherregal.
232.wav;dis_177.wav;232;dis_177;GPT-humans;Eine Gruppe Freunde lacht in der Bar.;GPT-literature;Das geheimnisvolle Buch entfesselte die Kraft der Magie.
160.wav;dis_026.wav;160;dis_026;GPT-low;Im Alltag herrscht eine gnadenlose Hektik.;GPT-unprompted;Am Wochenende besuchen wir oft unsere Großeltern.
254.wav;dis_235.wav;254;dis_235;GPT-unprompted;Die weiße Leinwand wird vom Maler beschriftet.;GPT-low;Im alten Buchladen fand ich eine vergessene Sammlung von Gedichten.
193.wav;dis_088.wav;193;dis_088;GPT-middle;Der Zug rattert laut durch die Nacht.;GPT-high;Im Wald singen die Vögel fröhlich ihr Lied.
244.wav;dis_188.wav;244;dis_188;GPT-humans;Der Polizist spielt Gitarre für die Nachbarschaft.;GPT-literature;Der Detektiv löste das Rätsel um das gestohlene Gemälde.
176.wav;dis_089.wav;176;dis_089;GPT-middle;Der Kaffee duftet verführerisch am Morgen.;GPT-high;Ein ungewöhnliches Geräusch ließ sie innehalten und lauschen.
139.wav;dis_219.wav;139;dis_219;corpus;Die Bremse quietscht beim linkslastigen Bremsen.;GPT-normal;Das neue Restaurant hat eine interessante Speisekarte.
008.wav;dis_060.wav;8;dis_060;GPT-low;Morgen umarmt der Nebel die Berge.;GPT-unprompted;Die geheimnisvolle Atmosphäre der Gasse weckt die Neugierde.
104.wav;dis_140.wav;104;dis_140;corpus;Einige Busse fahren heute später.;GPT-high;Der Gärtner pflanzte bunte Blumen in die Beete.
056.wav;dis_159.wav;56;dis_159;corpus;Wir hören den plätschernden Bach;GPT-normal;Der Regen klopft leise an das Fenster.
138.wav;dis_283.wav;138;dis_283;corpus;Nicht alle Menschen verkraften den Linksverkehr sofort.;GPT-nonfiction;Ein Blick in die Astronomie enthüllt die Geheimnisse des Universums.
149.wav;dis_022.wav;149;dis_022;corpus;Der Frosch sprang rein ins Täschchen.;corpus;Der Vertragsabschluss sah eine vieljährige Laufzeit vor.
175.wav;dis_228.wav;175;dis_228;GPT-middle;Die Blumen blühen im sonnigen Garten.;GPT-low;Beim Morgenspaziergang fand ich eine verlorene Schatzkarte.
136.wav;dis_046.wav;136;dis_046;corpus;Für Volkskunst schwärmt nicht jede Altersstufe.;GPT-unprompted;Das historische Fachwerkhaus strahlt einen nostalgischen Charme aus.
144.wav;dis_058.wav;144;dis_058;corpus;Prinzipiell müssen alle Hunde ein Halsband tragen.;GPT-unprompted;Ein harmonischer Klangteppich umhüllt die Zuhörer im Konzertsaal.
161.wav;dis_001.wav;161;dis_001;GPT-low;Durch die Straßen zieht eine kalte Brise.;corpus;Das Haus neben dem Leuchtturm dient seit Jahren als Unterschlupf.
137.wav;dis_242.wav;137;dis_242;corpus;Der Besitz des Kiosks ist rechtlich verpfändet.;GPT-creative;Ein verlorener Schlüssel öffnet Türen zu unbekannten Welten.
173.wav;dis_173.wav;173;dis_173;GPT-middle;Die Straßenlaterne spendet warmes Licht.;GPT-literature;Ihre Augen spiegelten die Abgründe der vergangenen Jahre.
172.wav;dis_114.wav;172;dis_114;GPT-low;Nach dem Aufräumen fand ich mein Buch.;GPT-low;Der alte Schrank versteckte ein geheimnisvolles Tagebuch.
233.wav;dis_170.wav;233;dis_170;GPT-humans;Die Nachbarn feiern gemeinsam im Garten.;GPT-news;Die Wirtschaftsdaten deuten auf ein langsames Wachstum hin.
258.wav;dis_045.wav;258;dis_045;GPT-sie;Sie hört Musik mit geschlossenen Augen.;GPT-unprompted;Der tanzende Schmetterling verzaubert mit seinen bunten Flügeln.
186.wav;dis_033.wav;186;dis_033;GPT-middle;Die Kaffeetasse dampft auf dem Frühstückstisch.;GPT-unprompted;Die klirrende Kälte lässt die Seen im Winter zufrieren.
215.wav;dis_122.wav;215;dis_122;GPT-normal;Ein freundliches Lächeln erhellt den Tag.;GPT-low;Die Bibliothekarin verschluckte versehentlich einen Buchstaben. 
048.wav;dis_289.wav;48;dis_289;corpus;Gleich hier sind die Nahrungsmittel;GPT-daily;Die Verkehrslage ist heute morgen ziemlich entspannt.
026.wav;dis_143.wav;26;dis_143;GPT-high;Das Wasser kocht auf dem Herd.;GPT-low;Während des Telefonats hörte sie das Meer rauschen.
231.wav;dis_084.wav;231;dis_084;GPT-humans;Ein Paar tanzt unter dem Sternenhimmel.;GPT-low;Ein warmes Lächeln zaubert Sonnenschein in graue Tage.
063.wav;dis_282.wav;63;dis_282;corpus;Der Bahnhof liegt sieben Minuten entfernt.;GPT-nonfiction;Die Entschlüsselung des menschlichen Genoms wirft ethische Fragen auf.
201.wav;dis_104.wav;201;dis_104;GPT-unprompted;Der Briefträger bringt die Post.;GPT-high;Der Seiltänzer backt Kekse in der Hängematte.
152.wav;dis_059.wav;152;dis_059;corpus;Nach diesen Sturmböen herrscht ein furchtbares Chaos.;GPT-unprompted;Die eifrigen Bienenschwärme bestäuben emsig die duftenden Blüten.
256.wav;dis_161.wav;256;dis_161;GPT-sie;Sie liest ein Buch in der Sonne.;GPT-normal;Der Briefträger bringt täglich die Post vorbei.
129.wav;dis_183.wav;129;dis_183;corpus;Du bewirbst dich bei der gepflegten Wirtschaftsbank.;GPT-literature;Ein Flüstern durchzog den verwunschenen Wald im Mondschein.
045.wav;dis_157.wav;45;dis_157;corpus;Der Kaffee dampft in den Tassen.;GPT-normal;In der Stadt herrscht reges Treiben am Samstag.
227.wav;dis_221.wav;227;dis_221;GPT-humans;Das Café ist Treffpunkt für Gespräche.;GPT-low;Auf dem Flohmarkt entdeckte ich einen antiken Spiegel.
194.wav;dis_043.wav;194;dis_043;GPT-middle;Der Raureif zaubert Diamanten auf Blätter.;GPT-unprompted;Der prächtige Regenbogen erstrahlt nach dem heftigen Gewitter.
074.wav;dis_074.wav;74;dis_074;corpus;Alle eilen gleich links ins Freie.;GPT-low;Über den Dächern der Stadt verliert sich der Horizont.
123.wav;dis_240.wav;123;dis_240;corpus;Auch der Elefant ist ein Geschöpf Gottes.;GPT-low;In der alten Buchhandlung fand ich ein Buch ohne Titel.
103.wav;dis_016.wav;103;dis_016;corpus;Verkehrsampeln leuchten grün, gelb, rot.;corpus;Der Kursteilnehmer wählt das einfachste Exemplar der vergilbten Schriftstücke.
